name,lat,lng,FSA,RATINGS
St Brigid,43.6868117,-79.3168714,M4C,7.8
Canadian Martyrs,43.6982088,-79.3197093,M4C,6.9
St Denis,43.6729814,-79.2900378,M4E,7.2
St John,43.8219217,-79.1121956,M4E,7
St Anselm,43.7053956,-79.3715122,M4G,7.2
Holy Cross,43.6899901,-79.3406358,M4J,6.6
Holy Name,43.6773561,-79.3472881,M4K,5.6
St Joseph,43.6658462,-79.3316811,M4M,3.6
St Monica,44.602794,-75.678261,M4P,6.2
Our Lady of Perpetual Help,43.6877097,-79.3836218,M4T,8.6
Our Lady of Lourdes,43.6661182,-79.3746653,M4X,5.9
St Paul,43.6554382,-79.3617359,M5A,5.5
St Michael's Choir,40.8460368,-74.1309924,M5B,8.8
Blessed Sacrament,43.7274902,-79.4040008,M5M,7.5
St Margaret,43.7361735,-79.4262851,M5M,5.9
Holy Rosary,43.6848122,-79.4142534,M5P,7
St Charles,43.7132356,-79.4513583,M6B,4.9
Sts Cosmas and Damian,43.7069322,-79.4447439,M6B,7.7
Our Lady of the Assumption,43.7164381,-79.4316646,M6B,3.8
Regina Mundi,43.7099027,-79.4593508,M6B,5.6
St Alphonsus,43.6827842,-79.4320412,M6C,4.7
St Clare,43.6795795,-79.4414845,M6E,6.6
D'Arcy McGee,43.6924241,-79.4430505,M6E,4.1
St John Bosco,43.6887147,-79.4505671,M6E,5.2
St Nicholas of Bari,46.620652,-122.948157,M6E,4.3
Stella Maris,43.6794144,-79.4449467,M6E,3.7
St Thomas Aquinas,43.6958721,-79.4454682,M6E,7.1
St Francis of Assisi,40.7186287,-73.9851379,M6G,7.2
St Bruno Catholic,43.6732845,-79.4272898,M6G,4.7
St Anthony,43.6635434,-79.4350006,M6H,5.1
St Helen,43.6520932,-79.4361596,M6H,5.1
St Mary of the Angels,43.6721275,-79.440296,M6H,8.1
St Sebastian,43.6627747,-79.4399296,M6H,10
St Mary,43.6457483,-79.404765,M6J,4.6
St Luke,43.6516833,-79.4210688,M6J,5.8
Holy Family,43.6385741,-79.4346151,M6K,3
St Fidelis,-33.8375075,151.2239183,M6L,6.5
St Francis Xavier,43.7109856,-79.4831389,M6L,5.6
St Bernard,43.7032711,-79.5005929,M6M,4.9
Immaculate Conception,43.697655,-79.4779507,M6M,3.8
St Matthew,43.6805931,-79.4675774,M6N,5
Our Lady of Victory,43.6837245,-79.4898102,M6N,3.4
Santa Maria,40.7234003,-74.1881511,M6N,3.7
Pope Paul,43.6740215,-79.4577963,M6N,5.3
St Cecilia,43.6609841,-79.474819,M6P,6.8
St Luigi,36.233996,-86.7158009,M6P,6.4
St Vincent de Paul,43.6468378,-79.4479263,M6R,7.1
James Culnan,41.6999591,-72.7360387,M6S,5.5
St James,43.664699,-79.4952239,M6S,4.2
St Pius X,40.7382717,-74.0069107,M6S,7.8
St Josaphat,49.1318118,-123.9232981,M8V,8.3
St Leo,40.6343668,-74.0909372,M8V,6.4
